textlabel,text
1,"Opinion: B.C. tourism is on life support. We must act now to save this vital industry from disaster. Like Vancouver and Victoria, Richmond has seen tourism fall dramatically since the COVID-19 pandemic began Without government support, the collapse of the visitor economy in our cities will have a devastating impact on the rest of the province, argue the CEOs of Destination Greater Victoria, Tourism Vancouver and Tourism Richmond As the summer draws to a close and the provincial government nears a decision on how to allocate its $1.5-billion recovery package, it would be easy for some people to make the false assumption that a strong August for some tourism operators means the B.C. tourism sector is on the road to recovery. Nothing could be further from the truth. Unlike the forestry, mining, technology and manufacturing sectors, which have remained open for global trade, tourism is the only industry that has been virtually shut down by government, thanks to the closure of our borders to international travel. Although that was the right thing to do to keep us safe, it has crippled thousands of tourism businesses and jobs reliant upon international visitors. Our cities have been particularly hard-hit. When our airports and borders closed to global travel, our cities lost their most lucrative markets. Travellers from the U.S. spend twice as much as domestic travellers and non-U.S. international travellers three times as much. As our peak season winds down, it’s now clear that revenue from local travellers and staycations will never come close to making up for the millions of international travellers we’ve lost. Cities play a distinct role the visitor economy. They are strategic gateways to communities across the province. In a highly competitive world, they are the front door attracting visitors, critical investment and human capital. Transportation hubs and convention destinations, they are centres of major tourism infrastructure. Tourism businesses in our cities are in serious trouble, and this is the canary in the coal mine for the rest of the province. One of the most important measures of the tourism sector’s health is hotel occupancy rates in our larger cities. Before COVID-19, yearly hotel occupancy in Greater Victoria and the Lower Mainland was in the range of 75 to 80 percent. Year-to-date, Greater Victoria hotel occupancy is 34 percent. In Vancouver, it sits at 26 percent for the summer. And in Richmond (which had the highest hotel occupancy in Canada over the past few years), it’s even lower. Through July in our provincial capital, a city where two in five working people are employed directly or indirectly in the visitor economy, tourism revenue is down a staggering 68 percent from 2019. That shortfall has serious implications. The projected economic losses for tourism in Metro Vancouver add up to $9.8 billion in visitor spending, $5.8 billion in gross domestic product, $2.6 billion in taxes to government and 72,000 full-time-equivalent jobs. And if tourism businesses fail, there will be no jobs for these people to return to next spring. In B.C., cities anchor the province’s visitor economy, which is an industry of industries—hotels, attractions, airlines and airports, retail, restaurants, festivals, conferences and events. All of these businesses are interconnected and have a direct impact on a vital supply chain that includes food and beverage providers, farmers, caterers, transportation and construction, to name just a few. This entire economic network is at risk if the visitor economy is severely damaged. We are already seeing the impacts in our communities. The potential loss of tourism amenities, experiences and infrastructure should concern all British Columbians who value their quality of life and their jobs. Tourism Vancouver, Tourism Richmond and Destination Greater Victoria support the Tourism Industry Association of British Columbia’s $680-million proposal to preserve our vital tourism businesses until next year. A strategic investment as part of the provincial and federal governments’ economic recovery plan will be the difference. Without government help, we’re at risk of seeing large-scale business failures in world-class B.C. tourism destinations. And business failures in our gateways will have a domino effect, negatively impacting businesses in more remote parts of the province."
2,"Air Canada plans to cut its workforce by at least half as the COVID-19 pandemic continues to wreak havoc on the airline industry, according to an internal memo obtained by CBC News. Effective June 7, ""approximately 50 to 60 per cent"" of the company's 38,000 employees will be laid off, the company said in the memo sent to all staff on Friday. ""We estimate about 20,000 people will be affected."" Air Canada said the move comes after a ""fundamental review of what we must do to successfully emerge from this crisis and begin rebuilding our airline."" The airline said it is currently flying at about five per cent of the capacity it flew last year and hopes to ramp up to 25 per cent later in the year if government-imposed travel restrictions are eased. ""Sadly, today the hard truth is that by every indicator we have available to us, we believe that we will be materially smaller for at least three years,"" Craig Landry, Air Canada's executive vice-president of operations, said in the memo. He also said the airline was burning $22 million a day. The announcement comes amid ongoing border shutdowns and confinement measures that have tanked travel demand, prompting Air Canada to ground some 225 airplanes. ""We therefore took the extremely difficult decision today to significantly downsize our operation to align with forecasts, which regrettably means reducing our workforce by 50 to 60 per cent,"" the airline said in an statement on Friday evening. ""We estimate about 20,000 people will be affected."" At a minimum, layoffs will reach 19,000 — half of the current payroll — and could go as high as 22,800. A government source who spoke to CBC News on condition of anonymity on Friday said Ottawa hadn't received notice about the layoffs from Air Canada or a request for a waiver. But in an email to CBC News on Saturday, a spokesperson from Air Canada said the company was not required to notify the Ministry of Labour. On Tuesday, a spokesperson for the minister's office confirmed notice is required for permanent termination of employment, not for temporary layoffs. The blow echoes on a bigger scale Air Canada's announcement in March to let go nearly half of its workforce under a cost reduction scheme. The carrier proceeded to rehire some 16,500 laid-off flight attendants, mechanics and customer service agents in April under the Canada Emergency Wage Subsidy, but has not committed to maintain the program past June 6. Karl Moore, an airline industry analyst and professor at McGill University, told CBC News that the layoffs are ""not a surprise"" as the pandemic cratered demand. ""The number of people flying is down in a way we've never seen before in aviation history,"" he said. ""Canadians are not willing to be on planes in crowded conditions. Hopefully in a year or two, we'll be beyond that."" Airline mulling wage subsidy decision To minimize the number of layoffs, Air Canada will ask flight attendants to slash their schedules, go on leave for up to two years or resign with travel privileges, according to an internal bulletin to members from the Canadian Union of Public Employees (CUPE) sent out Thursday night and obtained by The Canadian Press. The CUPE memo stated that the union is in discussions with Air Canada over continuing the federal wage subsidy. ""We know this news is not what any of us were expecting,"" said the bulletin, signed by the president of CUPE's Air Canada component and two other union officials. ""The reality is that COVID-19 has severely impacted the demand for air travel over the past few months and into the foreseeable future. As such, there is no denying that we are dealing with the largest surplus of cabin personnel in our history."" Reacting to news about the layoffs, CUPE said in a separate statement that it is ""doing everything it can to protect the livelihoods of our 10,000 flight attendant members."" Air Canada did not respond directly to questions about whether it would drop the wage subsidy, which Ottawa recently extended through August. The subsidy program that allowed employees — including 6,800 flight attendants — to be rehired last month covers 75 per cent of a worker's normal hourly wages or up to $847 per week. The vast majority of those workers have stayed at home, however, as operations remain at a virtual standstill. While Air Canada is not contributing to most worker wages, the airline has continued to put money toward pensions and benefits, a continuous cash drain at a company that lost more than $1 billion last quarter. The Montreal-based company has been bleeding cash since mid-March, slashing its flight capacity by over 90 per cent ahead of even fewer expected passengers between April and June. Though traffic is expected to pick up somewhat before year's end, the approximately 225 grounded planes remain that way, and Air Canada CEO Calin Rovinescu said last week the recovery will be slow, with at least three years of subpar earnings."
3,"Air Canada will temporarily lay off 16,500 employees starting this week as the airline struggles with fallout from the COVID-19 pandemic. Effective this Friday, the layoffs of 15,200 unionized workers and 1,300 managers will last through April and May amid drastically reduced flight capacity from the Montreal-based airline. “To furlough such a large proportion of our employees is an extremely painful decision but one we are required to take given our dramatically smaller operations for the next while,” chief executive Calin Rovinescu said in a statement. The carrier has halted most of its international and U.S. routes in response to the global shutdown. States from Sweden to China to the United States have rolled out aid packages for the airline sector over the past month as borders closed and travel demand plummeted amid the spread of the novel coronavirus. Air Canada said its cost reduction scheme aims to save least $500 million. It includes a pledge from both the CEO and chief financial officer Mike Rousseau to forego 100 per cent of their salaries, while the rest of the executive team will give up between 25 per cent and 50 per cent. The company will draw down about $1 billion in lines of credit to provide additional liquidity for a carrier that has a $7.3 billion cash cushion to fall back on — more than the most profitable U.S. carrier, Delta Air Lines. Earlier this month Air Canada’s flight attendant union said 5,149 cabin crew would be temporarily laid off due to the COVID-19 outbreak. The newly announced layoffs do not include the earlier job reductions. The pandemic has cost thousands of jobs in the airline sector. Transat AT Inc. has laid off at least 3,600 flight attendants while WestJet has seen 6,900 departures including early retirements, resignations and both voluntary and involuntary leaves. WestJet said Monday it is cancelling all transatlantic and U.S. routes until May 4, extending its 30-day suspension by two more weeks. Both Air Transat and Porter Airlines have halted all flights."
4,"Vancouver Airport Authority announces layoffs due to COVID-19. It’s the first round of layoffs for YVR. In an emailed statement on Wednesday afternoon, the Vancouver Airport Authority, which runs the airport, revealed it is offering voluntary departure packages to its 500 employee workforce. That’s as the aviation industry continues to be impacted by the COVID-19 pandemic, with less passenger traffic for the foreseeable future. Employees were notified on Wednesday that the authority is “undergoing workforce reductions”. Layoffs will follow, but the authority hasn’t given a specific timeline but did suggest an update will be shared in around two weeks. These layoffs are contained to the organization itself and not the broader YVR workforce of 26,000 people."
5,"As the coronavirus has spread around the world, international travel has ground almost to a halt as countries locked-down their borders or significantly restricted any but essential travel. Airlines — including Air Canada and WestJet — have cut thousands of workers in order to survive and have seen their stock prices plummet. In an April-end update to the City of Richmond COVID-19 community task force, the YVR president said passenger volumes had declined more than 90 per cent from historical levels. As some countries gain control of the virus’s spread and start easing restrictions, international travel restrictions may also be lifted. But even if and when restrictions are lifted, a major question is whether travellers will return, says Jacques Roy, a professor of transport management at the HEC Montreal business school. Article content Factors that will affect a return of travellers include people’s willingness to book leisure trips, whether businesses will continue remote meetings in place of face-to-face gatherings and the general safety confidence in air travel, noted Roy. “I would like to tell you, it’s going to be two years and it’s going be back to normal, but it’s very difficult to predict,” said Roy. He said he considers the Vancouver airport well-managed and has confidence they will be able to face the challenges. Roy said YVR’s position as a hub for Asia-North American air traffic may help it. He noted Asia has been a growing market and, because of measures some Asian countries have taken, may be able to recover more quickly. Tae Hoon Oum, a professor emeritus at the University of B.C.’s Sauder School of Business, expects air travel to gradually come back but said, until it’s back to normal, that airlines and airports will likely need government assistance. The U.S. and European countries have already stepped up to do so with substantial loan backing, and Canada will likely have to take increased measures, said Oum, who has expertise in air transportation. Article content YVR’s management has been prudent, and historically air travel has grown over the past 30 years, however, this is an extraordinary time, said Oum. “The airline industry is devastated — 90 per cent of flights have been cancelled. Airport revenue will reduce in proportion,” he said. The YVR airport authority’s 2018 financial report, the latest available, showed that in that year the airport had produced more than $100 million in revenue in excess of expenses. However, almost all of the airport’s revenues comes from its air-travel activity, including from landing and terminal fees, and airport improvement fees that passengers pay."
6,"TransLink has put the brakes on major service cuts and almost 1,500 layoffs that would have taken effect later this month, just as the province’s COVID-19 restrictions are now set to loosen. Metro Vancouver’s transit agency said the move was prompted by progress made in talks with the B.C. government to address TransLink’s pandemic-related revenue shortfall, though the province has not yet put a dollar amount on its aid. “This is another important step forward for restarting British Columbia and Metro Vancouver’s economy,” said TransLink CEO Kevin Desmond. “The transit service provided by TransLink is essential to the lives of hundreds of thousands of people in our region. We will be ready to provide safe, reliable transit service as people return to work.” TransLink had planned to cancel 41 bus routes on May 18 and reduce frequency on those that remained. Service hours would have been reduced by 35 per cent compared to early March. TransLink suspended 18 bus routes last month and six last week, and service cuts have already been made to SkyTrain, SeaBus and West Coast Express. There are no plans to rollback the service cuts already made, but the agency is re-evaluating its service needs, along with what it must do to meet health and safety standards as people return to public transit. Ridership on the transit system has dropped by more than 80 per cent since COVID-19 restrictions went into place in mid March, causing TransLink to lose about $75 million a month, primarily due to reduced fare box and gas tax revenue. TransLink had been working with the province on a plan to get the system back up to near normal by September, but those talks were accelerated this week when the province announced plans to lift pandemic restrictions and reopen many closed businesses and services starting on May 19. Although TransLink does not know how much money the province will provide, the agency says it is now confident that it will be able to provide service for those who need it when restrictions are rolled back. Part of the uncertainty is because it remains unclear whether the federal government will aid transit agencies, which are suffering across the country. Municipal Affairs Minister Selina Robinson, who is responsible for TransLink, said the province will continue, along with TransLink, to call on the federal government for support. Jonathan Coté, who chairs the TransLink Mayors’ Council, said the province’s commitment to help TransLink is a first step to returning it to long-term financial health. Unions were relieved that their members’ jobs would be spared. Unifor, which represents 5,000 workers at Coast Mountain Bus Company — 1,200 of whom were facing job losses, most of them bus drivers — said the layoffs would have been devastating for the commutes of front-line workers. “Transit operators and skilled trades maintenance staff are a linchpin in the urban transportation network,” said Gavin McGarrigle, Unifor’s western regional director. “They’re on the front lines with other COVID heroes doing work that it is critical to the Canadian economy during this precarious time.” MoveUP also represents workers at the bus company and TransLink, and the union had been concerned about the public risks associated with transit cuts. SkyTrain attendants and maintenance staff made up most of the 80 layoffs that were slated for CUPE 7000 members. Local president Tony Rebelo said the pandemic confirmed that transit workers provide a critical service for the public and will play an important role in sustaining and rebuilding the economy."
7,"The union representing Metro Vancouver's bus drivers says it's launching a legal challenge to TransLink's recent mass layoffs. On Monday, the transit authority announced that 1,492 employees have been given notice in the face of losses totalling tens of millions of dollars per month because of the COVID-19 pandemic. That includes about 1,200 transit operators and maintenance staff who work for TransLink subsidiary Coast Mountain Bus Company (CMBC), and who are represented by Unifor. Unifor representatives said Thursday that they plan to use the B.C. Labour Code to fight the layoffs. Balbir Mann, president of Unifor Local 111, which represents transit operators, alleged the company didn't provide proper notice of the layoffs. ""We're not going to let the employer cut corners when it comes to layoffs of this magnitude. They should know better,"" he said in a news release. In a written statement, TransLink representatives said they are aware of the legal challenge. ""It is CMBC's position that it has honoured the collective agreement and met all legal obligations,"" the statement said. Unifor also says it is urging the federal government to provide emergency funding to ensure public transit is available during the pandemic."
8,"TransLink has announced nearly 1,500 layoffs and widespread cuts to most modes of public transportation in Metro Vancouver in an effort to save money, as the transit authority continues to lose tens of millions per month due to the COVID-19 pandemic. A statement on Monday said reduced service on buses, SkyTrain, SeaBus and West Coast Express will begin this week. It said the 1,492 employees losing their jobs worked ""in various positions"" at TransLink and its Coast Mountain Bus Company (CMBC) and B.C. Rapid Transit Company subsidiaries. ""This has been an incredibly tough decision and one we do not take lightly,"" TransLink CEO Kevin Desmond wrote in the statement. The cuts come less than a week after TransLink said it was losing $75 million every month due to the health crisis. It said ridership has dropped by more than 80 per cent since mid-March. The authority had warned cuts were imminent without financial help from government. The statement Monday said TransLink has been working with the province ""to ensure that funding is available to allow TransLink to reverse layoffs and return to near-regular operations in time for back-to-school in September."" Senior executive salaries and board compensation has also been reduced by 10 per cent to cut costs. Service expansions, maintenance and rehabilitation work previously planned for 2020 have been deferred. The number of layoffs represents nearly 18 per cent of TransLink's total staff. Eighteen bus routes will be suspended as of Friday, including six NightBus routes. The statement said most of the affected routes were chosen because they have low ridership and ""other transit as alternatives."" TransLink expects to cut another 47 routes in early May, with reduced frequency on most routes left over. It said service to hospitals and other health facilities is being prioritized. SkyTrain service on Millennium, Expo and Canada lines will be reduced by 15-20 per cent. TransLink said they suspended routes ""that are in low ridership areas,"" and the numbers appear to back up that claim. Analysis by CBC News shows the affected routes had 11.6 million combined boardings in 2018. That sounds like a lot — but there were 296 million bus boardings on the entire system that year. To put it another way, TransLink is suspending 28 per cent of its routes, but that only accounts for four per cent of its ridership, based on 2018 data. However, those cuts disproportionately affect people living in Maple Ridge and Pitt Meadows — seven of its 10 routes will be suspended, leaving only the 701, 743, and 745/746 buses remaining. Meanwhile, 24 of 28 routes centred around Burnaby and New Westminster will continue to operate, along with 20 of 25 in the Tri-Cities. Spokesperson Ben Murphy said Monday most people ""will be able to get to where they want to go, albeit in a far less convenient way."" Unifor, the union representing bus drivers in the region, had warned its members in a letter Sunday that CMBC had approached the union about impending layoffs. CMBC handles bus service in the region on behalf of TransLink. Gavin McGarrigle, the union's western regional director, said a drastic cut in staff would affect the entire region as essential workers like health-care professionals, grocery store staff and janitorial workers still rely on transit. ""We think this is highly irresponsible in the middle of this pandemic,"" he said. McGarrigle said scaling back the number of buses on the road is not an alternative solution as remaining buses would then be more crowded, creating difficulties with physical distancing. He added that tensions on bus routes are already high and argued governments need to find another solution to maintain service levels. ""We don't want to be a guinea pig in an experiment over budgets,"" McGarrigle said. ""Governments right now at all levels are struggling with the cost of dealing with this pandemic, but there are some things you can't afford to gamble."" The 50,000-person Hospital Employees Union also spoke against the cuts. ""These service cuts mean added stress for health care and other essential workers in the region who depend on transit to get to work each day,"" said HEU secretary-business manager Jennifer Whiteside in a statement. ""I'm especially concerned for workers who are forced to commute long distances because of high housing costs and who may be working second jobs to support their families. These service cuts will be a huge source of stress for these workers.”"
9,"With demand way down due to COVID-19, BC Ferries will be sailing through rough seas for the foreseeable future. As of late last week, the coastal ferry service said its traffic is down by 80%, reducing fare revenue substantially. Its ancillary revenues coming from food and beverage outlets and retail have also been slashed, as these amenities on ships and at the terminals have been curtailed to help prevent the spread of the coronavirus. Deborah Marshall, a spokesperson for BC Ferries, confirmed with Daily Hive that up to 1,400 employees will be affected by temporary layoffs, but she was unable to provide any further details as the ferry corporation is still in the process of personally contacting staff to discuss their options. Understandably, the required BC Ferries workforce size has been greatly diminished, given its limited operational levels with far fewer sailings with the routes that use the fleet’s largest vessels. There have been multiple rounds of service level cuts over the last three week, with the steepest reductions to date made this past Saturday. The ferry corporation has made an unprecedented decision to suspend its major West Vancouver Horseshoe Bay to Nanaimo route until further notice. They reasoned that this route carries much less commercial traffic than the other two major routes connecting Metro Vancouver and Vancouver Island. But major cuts have also been made on the two remaining major routes; the Tsawwassen to Swartz Bay route now operates with just four sailings each way per day, while the Tsawwassen to Nanaimo Duke Point route runs with four public sailings and four cargo-only sailings each way per day. This is happening at a time when BC Ferries typically sees a seasonal uptick in traffic, spurred by an increase in recreational and tourism travel. Instead, the first round of layoffs affecting several hundred employees occurred over the weekend. In a release, the BC Ferry & Marine Workers’ Union (BCFMWU) called the decision for layoffs a surprise and alleges this action may be a violation of provisions in their collective agreement. The union said the terms of the agreement stipulates all affected employees must receive notice of layoff and an option of severance pay. “A sudden layoff without notice and other provisions of severance laid out in their collective agreement would be devastating to these workers and their families,” said BCFMWU Provincial President Graeme Johnston in a statement. “We call on BC Ferries to honour the collective agreement while they adjust to service reductions.” They have also threatened possible legal action against the ferry corporation. The pandemic has affected the revenues of all sectors, including the municipal governments of Metro Vancouver, which have collectively laid off several thousand employees over the last two weeks. These employees largely work in shuttered departments, such as public libraries, arts and culture, and parks and recreation. TransLink has also taken a severe beating in its fiscal house; total ridership is down by 83%, and demand for gas at the pump has plummeted to such a low that gas prices in Metro Vancouver were hovering at just 90 cents per litre on Monday. Fare revenue and fuel and parking sales taxes account for over 60% of TransLink’s annual operating budget. However, as of Friday, the public transit authority told Daily Hive they have not had any layoffs. With the depressed ridership levels, TransLink has reduced its frequencies on SkyTrain, SeaBus, West Coast Express, and the conventional buses to cut operating costs. BC Ferries employs about 4,500 people, while TransLink and its operating subsidiaries employ approximately 7,000 people."
10,"No Tourism Bailout without Job Protection for 50,000 Hotel Workers, Says Union Unite Here is pressing government to ensure employees can return to their old jobs as sector recovers. The B.C. government shouldn’t provide bailout funds to the tourism industry without ensuring stronger protections for laid-off employees, says an advocate for hotel workers. “We think at a time when they’re considering a $680-million request for aid to the tourism sector, they have to also consider how they help provide protection for workers laid off due to COVID-19,” said Michelle Travis, research director for Unite Here Local 40, a union representing workers in B.C. hotels, food services and airports. “There seems to be reticence to address the challenge facing 50,000 hotel workers across the province,” she said. “We think they need to act urgently. We’re concerned they may not act on this.” There are many stories about layoffs and terminations in the sector, including at the Holiday Inn and Suites in downtown Vancouver and at the Four Points by Sheraton Vancouver Airport. In that case, the hotel was claiming the pandemic excused it from the responsibility to provide notice or pay severance. Travis recently raised the issue of terminations in the sector in an email to Lisa Beare, B.C.’s minister of tourism, arts and culture. She cited the case of the Pan Pacific hotel in Vancouver where management has asked employees to accept a rollback of their employment rights or risk losing their jobs. “They are being asked to give up their regular status, their schedule and seniority to become casual, on-call workers. It also appears they are being given $250 to sign away any claims on severance,” she wrote. Without action from the province, she said, “more workers will be stripped of their rights and fired. There are too many hotel employers out there who have no interest in doing the right thing and keeping their workforce intact.” Rajini Fjani, who cleaned rooms at the Pan Pacific, said 40 of her former colleagues, some of whom had worked at the hotel for 30 years, got letters asking them to accept becoming casual employees. “Of course it’s unfair,” she said. With five years working at the hotel, Fjani herself was among about 80 people fired. She’s worried about covering expenses, including tuition fees for two daughters in post-secondary school. “They fired us and it was a total shock.” In a July 29 letter responding to Travis, Beare acknowledged that the pandemic continues to heavily impact the sector, but said Labour Minister Harry Bains was the right person to approach since the matter falls under the Employment Standards Act. Finance Minister Carole James gave a similar answer last week. “There’s a variety of agreements in place with operators of hotels and with workers,” she said, noting that in some cases union collective agreements apply and others would be covered by labour laws. “I know those discussions are going on and are not necessarily part of the recovery process, but part of the discussions the labour minister is having with those groups and organizations as well,” James told The Tyee. The government has said it has $1.5 billion to spend on economic recovery from the pandemic, and James said it is still looking through proposals and she couldn’t yet give an indication of the government’s thinking on any specific proposal. Bains and the Labour Ministry have previously said they expect layoffs and terminations to be handled according to the Employment Standards Act and regulations. Travis from Unite Here said the province’s labour laws are insufficient to deal with what workers are facing during the pandemic. “Laid-off workers are being terminated from their jobs before the industry has had a chance to recover,” she said. K.M. Chan was fired in May by the non-union Shangri-La Hotel in Vancouver where he had worked serving in the restaurant for more than five years. Renovations had been started in January and he anticipated being brought back when they were done. Instead he was one of about 60 fired from the staff of around 100 during the pandemic. The team had worked well together and took pride in its high ranking on Trip Advisor and achieving five-star status, Chan said. “I don’t understand why they had to terminate us,” he said. Workers felt “tossed aside” and it was “upsetting and sad,” he said. ““It doesn’t feel right.... They just scattered everyone.” The hotel could have sought a variance under Employment Standards to extend the layoff period and avoided firing people, he said. Chan is receiving the Canada Emergency Response Benefit and will qualify for employment insurance, and is looking for work. “The market isn’t good for hospitality, especially with this many people laid off,” he noted. Travis said unionized workers will soon face similar issues unless the government creates a right-of-recall for all workers that remains in place until the pandemic is over. Workers should have a chance to return to their jobs once the industry recovers, Travis said. If not, employers will hire lower-paid workers as the industry recovers, she said. “That creates basically a race to the bottom.” UPDATE: Labour Minister Harry Bains has appointed labour lawyer Sandra Banister to review workers’ layoff and recall rights in the hotel sector. Banister will work with employers, unions and other relevant organizations, the government said in a release. She will provide a report to Bains by Aug. 20."
